ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-109-2012,LUMP SUM FOR ROADWAY OPERATIONAL IMPROVEMENTS IN THE METROPOLITAN AREA - FY 2012,Regional,2020,GDOT,N/A,N/A,N/A,0007502,,Programmed,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,STP - Statewide Flexible (GDOT),"$1,710,000","$427,500","$0,000","$0,000","$2,137,500","$1,710,000","$427,500","$0,000","$0,000","$2,137,500"
AR-109-2013,LUMP SUM FOR ROADWAY OPERATIONAL IMPROVEMENTS IN THE METROPOLITAN AREA - FY 2013,Regional,2020,GDOT,N/A,N/A,N/A,0007496,,Programmed,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,STP - Statewide Flexible (GDOT),"$1,710,000","$427,500","$0,000","$0,000","$2,137,500","$1,710,000","$427,500","$0,000","$0,000","$2,137,500"
AR-109C,LUMP SUM FOR ROADWAY OPERATIONAL IMPROVEMENTS IN THE METROPOLITAN AREA - FY 2008,Regional,2010,GDOT,N/A,N/A,N/A,0007498,,Programmed,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,STP - Statewide Flexible (GDOT),"$1,710,000","$427,500","$0,000","$0,000","$2,137,500","$1,710,000","$427,500","$0,000","$0,000","$2,137,500"
AR-109D,LUMP SUM FOR ROADWAY OPERATIONAL IMPROVEMENTS IN THE METROPOLITAN AREA - FY 2009,Regional,2010,GDOT,N/A,N/A,N/A,0007499,,Programmed,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,STP - Statewide Flexible (GDOT),"$1,710,000","$427,500","$0,000","$0,000","$2,137,500","$1,710,000","$427,500","$0,000","$0,000","$2,137,500"
AR-109E,LUMP SUM FOR ROADWAY OPERATIONAL IMPROVEMENTS IN THE METROPOLITAN AREA - FY 2010,Regional,2020,GDOT,N/A,N/A,N/A,0007500,,Programmed,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2010,STP - Statewide Flexible (GDOT),"$1,710,000","$427,500","$0,000","$0,000","$2,137,500","$1,710,000","$427,500","$0,000","$0,000","$2,137,500"
AR-109F,LUMP SUM FOR ROADWAY OPERATIONAL IMPROVEMENTS IN THE METROPOLITAN AREA - FY 2011,Regional,2020,GDOT,N/A,N/A,N/A,0007501,,Programmed,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2011,STP - Statewide Flexible (GDOT),"$1,710,000","$427,500","$0,000","$0,000","$2,137,500","$1,710,000","$427,500","$0,000","$0,000","$2,137,500"
AR-110-2011,"MINIMUM GUARANTEE - TASK ORDER CONTRACT, CST MANAGEMENT LUMP SUM - FY 2011",Regional,2020,GDOT,N/A,N/A,N/A,0003826,,Programmed,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2011,Minimum Guarantee,"$9,918,000","$2,479,500","$0,000","$0,000","$12,397,500","$9,918,000","$2,479,500","$0,000","$0,000","$12,397,500"
AR-110D,"MINIMUM GUARANTEE - TASK ORDER CONTRACT, CST MANAGEMENT LUMP SUM - FY 2008",Regional,2010,GDOT,N/A,N/A,N/A,0003829,,Programmed,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Minimum Guarantee,"$8,208,000","$2,052,000","$0,000","$0,000","$10,260,000","$8,208,000","$2,052,000","$0,000","$0,000","$10,260,000"
AR-110E,"MINIMUM GUARANTEE - TASK ORDER CONTRACT, CST MANAGEMENT LUMP SUM - FY 2009",Regional,2010,GDOT,N/A,N/A,N/A,0003830,,Programmed,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Minimum Guarantee,"$5,301,200","$1,325,300","$0,000","$0,000","$6,626,500","$5,301,200","$1,325,300","$0,000","$0,000","$6,626,500"
AR-110F,"MINIMUM GUARANTEE - TASK ORDER CONTRACT, CST MANAGEMENT LUMP SUM - FY 2010",Regional,2020,GDOT,N/A,N/A,N/A,0003825,,Programmed,Roadway Maintenance / Operations,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Minimum Guarantee,"$10,431,000","$2,607,750","$0,000","$0,000","$13,038,750","$10,431,000","$2,607,750","$0,000","$0,000","$13,038,750"
